Page,Risk Category,Severity,Sentiment,Text,Likelihood
55,Financial Risk,0.4,0.0," Insolvency and Bankruptcy Code, 2016: During the year under review, no application was made, no",1.4
55,Financial Risk,0.4,0.0,"case was filed and no proceeding is pending under the Insolvency and Bankruptcy Code, 2016.",1.4
55,General Risk,0.0,0.0, Deposits: Your Company has not invited or accepted any deposits falling within the purview of provisions,10.0
55,General Risk,0.0,0.0, MoU Performance: RINL has been exempted from signing the Memorandum of Understanding (MoU) with,10.0
55,General Risk,0.0,0.0," Reporting on valuations done, if any: During the financial year 2024–25, the Company did not enter",10.0
55,General Risk,0.0,0.0,"into any One Time Settlement (OTS) with any bank or financial institution. Consequently, there was no",10.0
55,General Risk,0.0,0.0,"requirement for carrying out any valuation, and hence reporting in this regard is not applicable.",10.0
55,Regulatory Risk,0.8,0.0,"The Government of India (GoI), on 16.01.2025, has approved a Revival Package, as below:",5.3
55,Financial Risk,0.4,0.0," Infusion of ````` 10,300 crores as equity capital (including ````` 500 crores already provided as emergency funds",1.4
55,Financial Risk,0.8,0.0, Conversion of Govt. of India loan of ````` 1140 crores as 7% Non-cumulative Preference Share Capital,1.4
55,Operational Risk,0.4,0.0,"This emergency support enabled RINL to re-commission the second Blast Furnace on 28.10.2024, and subsequently,",2.0
55,Operational Risk,0.8,0.5,"the Company was able to ramp up production from the two operational Blast Furnaces, often exceeding rated",2.0
55,General Risk,0.0,0.125,"Based on achievement of targets, RINL received the first tranche of ` 6,783 crores in January, 2025, the second",10.0
55,General Risk,0.0,0.0,"tranche of ` 1,401 crores in April, 2025 and the third tranche of ` 820 crores in September, 2025. The balance",10.0
55,General Risk,0.67,-0.167,"equity of ` 796 crores is scheduled to be released in FY 2025-26, subject to the fulfilment of targets stipulated.",10.0
55,Operational Risk,0.4,0.0,"With increase in production levels, improvement in efficiencies and the initiatives taken by the company for",2.0
55,Financial Risk,0.4,0.164,"reduction of fixed costs, the Company started to earn positive Earnings Before Interest and Depreciation (EBITDA)",1.4
55,Technology Risk,0.4,0.167,"Your Company has instituted a comprehensive, adequate and efficient system of internal controls that aligns with",2.4
55,Operational Risk,0.4,0.0,"its operational scale and complexity. These controls are designed to ensure the efficiency of operations, safeguard",2.0
55,Regulatory Risk,0.8,0.0,"assets, accuracy of financial reporting and adherence to internal policies, applicable laws and statutory requirements.",5.3
55,Regulatory Risk,0.4,0.0,This internal control system is an integral part of the company’s corporate governance policy. Salient features,5.3
55,Operational Risk,0.4,0.0,"include the implementation of well-defined policies and procedures, structured delegation of powers, robust IT",2.0
56,Technology Risk,0.8,0.158,"and ERP systems, statutory and internal audits, effective functioning of the Audit Committee and other Board",2.4
56,Regulatory Risk,0.4,0.0,Committees and compliance with Accounting Standards and Corporate Governance principles.,5.3
56,Technology Risk,0.4,0.4,The Company has a dedicated Internal Audit department comprising experienced professionals including Chartered,2.4
56,Technology Risk,0.8,0.0,"Accountants, Cost & Management Accountants, System Analysts and Engineers. The Internal Audit focuses on",2.4
56,Technology Risk,0.4,0.0,"transparency and the robustness of internal controls. The annual audit programme, including audit frequency",2.4
56,Technology Risk,0.4,0.0,"and coverage, is approved by the Audit Committee at the start of each financial year. The Internal Audit team",2.4
56,Technology Risk,0.4,0.0,"evaluates the Company’s systems and processes, recommending corrective actions and control enhancements",2.4
56,Technology Risk,0.4,0.0,to process owners. Key audit findings are periodically reviewed by the Audit Committee.,2.4
56,Technology Risk,0.7,0.0,"During FY 2024–25, the Internal Audit department raised 800 paras with a financial impact of ````` 7.82 crores.",2.4
56,Technology Risk,0.7,0.375,Audit recommendations led to significant ERP and operational control improvements.,2.4
56,General Risk,0.0,0.0,"In line with the recommendations of COPLOT – Rajya Sabha in its 150th Report, the Company has submitted",10.0
56,Technology Risk,0.4,0.1,Action Taken Notes (ATNs) on the pending audit paras during the year 2024–25 as follows:,2.4
56,General Risk,0.0,0.1,S.No. Report No Para No. & Description Action Taken Note Status,10.0
56,Financial Risk,0.4,0.0,1 Report No. 7 of Chapter-1: Category-1 Capital Repairs of Blast ATNs submitted on,1.4
56,Regulatory Risk,0.4,0.0,Govt. (Commercial)) of Environmental Issues at RINL respectively,5.3
56,General Risk,0.0,0.0,2 Report No. 18 of Para 13.2: Energy Management in RINL ATN submitted on,10.0
56,General Risk,0.0,0.0,2020 (Commercial) (2014–15 to 2017–18) Observations on 03.12.2024; additional,10.0
56,General Risk,0.0,0.0,"Generation, Purchase and distribution of information under process.",10.0
56,General Risk,0.0,0.0,3 Report No. 9 of 2017 Para 18.1: Excess PRP Payment to the Additional ATN information,10.0
56,General Risk,0.0,0.0,4 Report No. 27 of CSR Activities (2004–2010) (Performance Updated status submitted,10.0
56,General Risk,0.0,0.0,5 Report No. 12 of 2024 Para 6.3: Irregular Expenditure under ATN submitted on,10.0
56,General Risk,0.0,0.0,"Pursuant to the provisions of Section 204 of the Companies Act, 2013 and the Companies (Appointment and",10.0
56,General Risk,0.0,0.0,"Remuneration of Managerial Personnel) Rules, 2014, the Company appointed M/s. SVJS & Associates, Company",10.0
56,General Risk,0.0,0.0,"Secretaries, Kochi, as the Secretarial Auditors of the Company for the financial year 2024–25.",10.0
56,Regulatory Risk,0.4,0.0,"The Secretarial Audit Report, confirming compliance with the provisions of the Companies Act, 2013, and the",5.3
56,General Risk,0.0,0.0,"Rules made thereunder and the Memorandum and Articles of Association of the Company, forms part of the",10.0
56,General Risk,0.0,0.0,"Directors’ Report and is annexed as Annexure–VII. The Report does not contain any qualifications. However,",10.0
56,General Risk,0.0,0.214,"the Report includes certain observations, which have been explicitly stated by the Secretarial Auditors. The",10.0
56,General Risk,0.0,0.0,Management’s response to these observations is also included in the said Report and is provided below for the,10.0
57,General Risk,0.0,0.0,Management’s Response to the Observations of the Secretarial Auditors:,10.0
57,General Risk,0.0,0.0,With reference to the observation made by the Secretarial Auditors regarding the non-appointment of the requisite,10.0
57,General Risk,0.0,0.0,number of independent directors on the Board of the Company in accordance with Clause 3.1.4 of the Guidelines,10.0
57,General Risk,0.0,0.0,"on Corporate Governance for Central Public Sector Enterprises (CPSEs), issued by the Department of Public",10.0
57,Regulatory Risk,1.2,-0.1,"Enterprises (DPE), Ministry of Heavy Industries and Public Enterprises, Government of India, vide O.M. No. 18/",5.3
57,General Risk,1.2,-0.3,"(8)/2005-GM dated 14th May, 2010 which stipulates that at least one-third of the Board members should be",10.0
57,General Risk,0.0,0.0,"independent directors, accordingly, the following is submitted:",10.0
57,Regulatory Risk,0.4,0.0, The Company acknowledges the observation regarding the non-compliance with the prescribed composition,5.3
57,General Risk,0.14,-0.036," As a CPSE, the appointment of independent directors on the Board of Rashtriya Ispat Nigam Limited (RINL)",10.0
57,Regulatory Risk,0.8,0.0,is made by the Government of India through the administrative ministry i.e. Ministry of Steel (MoS).,5.3
57,Regulatory Risk,0.8,0.0," The Company has already requested the Ministry of Steel, Government of India, to nominate the requisite",5.3
57,Regulatory Risk,0.4,0.0,"number of independent directors to ensure compliance with the Companies Act, 2013, and the DPE",5.3
57,Regulatory Risk,0.8,0.0,The Company remains fully committed to ensuring compliance with all applicable statutory and regulatory,5.3
57,Regulatory Risk,0.67,-0.067,provisions and continues to follow up actively with the Ministry of Steel for the timely appointment of Independent,5.3
57,Regulatory Risk,0.4,0.0,"M/s. B V Rao & Co LLP, Chartered Accountants, Visakhapatnam, were appointed as Statutory Auditors by the",5.3
57,General Risk,0.0,0.05,Comptroller and Auditor General of India (C&AG) for FY 2024–25. Their report on the Standalone and Consolidated,10.0
57,General Risk,0.0,0.0,MONITORING MECHANISM FOR SUBSIDIARY / ASSOCIATE / JOINT VENTURE (JV) COMPANIES &,10.0
57,General Risk,0.0,0.0,"The Subsidiary Companies of RINL are managed by their respective Boards, which include nominee directors",10.0
57,Financial Risk,0.4,0.0,"from your Company, ensuring alignment with the interests of all stakeholders. The performance of subsidiary",1.4
57,General Risk,0.0,0.0,"companies is monitored by RINL through various means, including the periodic placement of their board meeting",10.0
57,General Risk,0.28,-0.071,Eastern Investments Limited – 50% by RINL (50% by Limited (ICVL) – 25.94% by,10.0
57,Operational Risk,0.4,0.0,(EIL) – 51% held by RINL Power Grid Corporation of RINL (remaining by,2.0
57,General Risk,0.0,0.0,"The consolidated financial statements for the year, incorporating the financials of all subsidiary and associate",10.0
57,Regulatory Risk,0.4,0.0,"companies, form part of this Report. The Statutory Auditors’ Report and the Comments of the Comptroller and",5.3
57,General Risk,0.0,0.025,"Auditor General of India (C&AG) on the consolidated financial statements (CFS), along with the management’s",10.0
58,General Risk,0.0,0.25,"In accordance with the first proviso to sub-section (3) of Section 129 of the Companies Act, 2013 read with Rule",10.0
58,General Risk,0.0,0.0,"5 of the Companies (Accounts) Rules, 2014, the statement containing salient features of the financial statements",10.0
58,General Risk,0.0,0.0,of Subsidiaries/Joint Ventures is enclosed in Form AOC-1 to this Report.,10.0
58,General Risk,0.0,0.0,"Notes on Subsidiaries, Joint Venutes and Associate Companies along with financials was forming part of this",10.0
58,General Risk,0.0,0.0,"EXPLANATIONS OR COMMENTS BY THE BOARD ON QUALIFICATIONS ETC., MADE BY THE AUDITOR",10.0
58,General Risk,0.0,0.0,There are no qualifications on the standalone financial statements as well as on the consolidated financial,10.0
58,General Risk,0.0,0.05,The Comptroller and Auditor General of India (C&AG) has given their comments on the Standalone and,10.0
58,General Risk,0.0,0.0,"Consolidated Accounts for FY 2024–25, which are appended to this Report.",10.0
58,Regulatory Risk,0.4,0.0,"Ministry of Corporate Affairs (MCA), Govt. of India, vide notification nos. GSR 425(E) dated. 30th June, 2014,",5.3
58,General Risk,0.0,0.0,"GSR 01(E), dated 31st December, 2014 and G.S.R 695(E), dated 14th July, 2016, has notified the Companies",10.0
58,Operational Risk,0.4,0.214,"(Cost Records and Audit) Rules, 2014 applicable to certain companies which are engaged in the production of",2.0
58,General Risk,0.0,0.0,goods or providing services. Such companies are required to keep cost records and get its cost records audited,10.0
58,General Risk,0.0,0.0,in accordance with these rules. The rules are also applicable to the Company and accordingly the Cost Accounting,10.0
58,Technology Risk,0.4,0.0,Records are being maintained by the Company and Cost Audit reports are being submitted by the Cost Auditor.,2.4
58,Geopolitical Risk,0.4,0.0,"Accordingly, your company appointed M/s Niran & Co., Cost Accountants, Bhubaneswar, as Cost Auditors, under",0.2
58,General Risk,0.0,0.0,DETAILS IN RESPECT OF FRAUDS REPORTED BY AUDITORS UNDER SECTION 143(12),10.0
58,Regulatory Risk,0.4,0.0,"During the year under review, no report has been filed by the Statutory Auditors under sub-section (12) of Section",5.3
58,Technology Risk,0.4,0.0,"143 of the Companies Act, 2013 in Form ADT-4, as prescribed under Rule 13 of the Companies (Audit and",2.4
58,Regulatory Risk,0.4,0.0,"Auditors) Rules, 2014, with the Central Government. A declaration to this effect has been included in Annexure-",5.3
58,General Risk,0.0,0.0,"A to the Independent Auditor’s Report on the Standalone Financial Statements, which forms part of this Report.",10.0
58,General Risk,0.0,0.25,The Board of Directors takes this opportunity to express its sincere gratitude and deep appreciation for the,10.0
58,Regulatory Risk,0.4,0.167,"valuable guidance, assistance, cooperation, and support extended by the Government of India, particularly the",5.3
58,General Risk,0.0,0.0,"The Board also acknowledges the continued support and cooperation received from Financial Institutions, Valued",10.0
58,Market Risk,0.4,0.0,"Customers and Suppliers, Railways, Bankers, Auditors, Contracting Agencies, Business Associates, Consultants,",2.9
58,Regulatory Risk,0.4,0.0,"various officials of the Union and State Ministries, the local District Administration, and Law & Order authorities",5.3
58,General Risk,0.0,0.104,"The Board places on record its sincere appreciation for the dedicated efforts, commitment, and hard work of",10.0
58,Market Risk,0.4,0.0,"all employees of the Company, including members of the Trade Unions and Executive Association, whose",2.9
58,Operational Risk,0.4,0.0,contributions were instrumental to the performance and operations of the Company throughout the year.,2.0
59,Market Risk,1.7,-0.125,"In 2024, due to slowdown in demand and build-up of excess capacity in China, the steel exports from China",2.9
59,Market Risk,0.65,-0.062,"surged to a record level of 118 Mt. This lead to a sharp increase in trade measures globally. During 2024,",2.9
59,Market Risk,0.4,0.0,"19 governments initiated 81 antidumping investigations involving steel products, a five-fold increase from",2.9
59,General Risk,0.0,0.2,As per the Steel Outlook 2025 released by Organization for Economic Co-operation and Development,10.0
59,Operational Risk,0.6,-0.05,(OECD) steelmaking capacity is expected to grow further by 165 Mt with a CAGR of 2.2% worldwide from,2.0
59,Market Risk,0.6,-0.05,"2024 to 2027. During this period, the demand is expected to increase by 46 Mt with a CAGR of 0.8% only",2.9
59,General Risk,0.0,0.167,"However, the medium-term outlook to 2030 foresees the rest of the world to post steady annual growth,",10.0
59,Market Risk,0.4,0.022,while Chinese steel demand continues to decline steadily. The world steel demand is expected to increase,2.9
59,Operational Risk,1.0,-0.15,at an average annual rate of 0.7% against 0.9% increase in production during the period,2.0
59,Market Risk,0.4,0.167,"India is projected to be the main contributor to the growth in production and demand of steel, with a CAGR",2.9
59,General Risk,0.3,0.062,India remains the world’s fastest growing major economy with a growth of 6.5% in FY 2024-25. India has,10.0
59,General Risk,0.0,0.2,"made quite a turnaround, climbing the ladder of economic growth from the 11th position in 2013-14 to the",10.0
59,General Risk,0.0,0.15,"Asia’s third-largest economy benefitted from strong farm activity, steady public spending and improved rural",10.0
59,Regulatory Risk,1.2,-0.2,"India’s growth engine remains heavily dependent on the government’s infrastructure spending on roads,",5.3
59,General Risk,0.6,0.121,"ports and highways, in the absence of significant improvement in private investment.",10.0
60,Regulatory Risk,0.4,0.0,Source: Ministry of Statistics and Programme Implementation (MoSPI) and JPC reports,5.3
60,Market Risk,0.4,0.0,The Indian steel demand retained its momentum and grew at 11.5% in FY 2024-25. (in Mt.),2.9
60,Market Risk,0.4,0.0,"Following the global trends, the net imports into India increased from 0.8 Mt in 2023-24 to 4.7 Mt in",2.9
60,Market Risk,0.4,0.2,2024-25. In-flow of imports affected the primary producers more than the secondary steel sector bringing,2.9
60,General Risk,0.0,0.029,down the earnings of the integrated (largely the flats segment).,10.0
60,Market Risk,0.4,0.0,"The longs segment, although facing subdued market conditions both at the domestic and global levels,",2.9
60,Market Risk,0.4,0.225,performed comparatively better as it was not directly affected by increasing imports.,2.9
60,Market Risk,0.8,0.0,"Non-tariff restraints such as mandatory BIS certification for imports, the Steel Import Monitoring Scheme",2.9
60,Market Risk,0.4,0.0,(SIMS) etc. and the proposed 12% duty likely to improve the viability of domestic steel compared to imports.,2.9
60,General Risk,0.3,0.062,Major strengths and weakness of the company (not an exhaustive list) are placed below:,10.0
60,Operational Risk,0.4,0.317, Strong support from GoI  Lack of Captive Mines for Iron Ore and,2.0
60,Market Risk,1.0,0.0," Shore based location, facilitating imports Coal, adversely impacting the cost",2.9
60,General Risk,0.2,-0.05," Availability of Land for expansion  Exclusive Long products portfolio, exposing",10.0
61,Regulatory Risk,0.7,0.0, Continued focus of GoI on infrastructure  Geo-political uncertainties,5.3
61,Market Risk,2.09,-0.073,"investments, favoring long product demand  Volatile prices of major raw materials",2.9
61,Market Risk,0.4,0.0, Stable projections of domestic demand  Protectionist measures reducing the,2.9
61,Operational Risk,1.88,-0.119,"Due to severe raw material shortage & liquidity crunch leading to low production in FY 2024-25, Marketing",2.0
61,Market Risk,0.4,0.0,"Department focused on enhancing sales realization by way of increasing Value added steel sales, Sales",2.9
61,Market Risk,0.4,0.0," In FY 2024-25, VAS sales has been 32.5% of total sales which was 30.8% of total sales in CPLY.",2.9
61,Market Risk,0.4,0.367, Achieved best ever direct dispatch sales of approx. 14.58 lakhs mt (42.6% of total sales) in FY 2024-,2.9
61,Market Risk,0.4,0.05,25 which was 13.11 lakhs mt (30.6% of total sales) in CPLY. Increased direct dispatch reduces payment,2.9
61,Market Risk,0.4,0.0,cycle from customers and reduces multiple handling cost also.,2.9
61,Market Risk,0.7,0.08," Achieved 62.5 % of total sales in high NSR Region, i.e. Andhra, South & East (Except Guwahati) in",2.9
62,Operational Risk,0.4,0.0,"With increase in production levels, improvement in efficiencies and the initiatives taken by the Company",2.0
62,General Risk,0.0,0.076,"for reduction of Fixed Costs, the company is expected to achieve positive PAT in 2025-26.",10.0
62,Operational Risk,0.8,0.0,"With GoI’s support, the third Blast Furnace was commenced. The ramp-up in operations from three Blast",2.0
62,General Risk,0.0,0.0,Furnaces is likely to ensure a sustainable turnaround for RINL.,10.0
